app,userName,rating,title,review,date,is_about_app,primary_theme,sentiment,specific_complaint,feature_request,severity,content_quality
lidl-plus,Axel Mann,1,,"Seit heute, musste ich mich neu anmelden und sollte meine Telefonnummer sowie Geburtstag und andere Daten bei LIDL Plus angeben. Da verzichte ich lieber auf die par Cent Rabatt, als das ich wieder so eine Datenkrake unterstütze und dann von irgendwelchen Betrügern telefonisch belästigt werde weil LIDL meine Daten weiter verkauft. Na ja, die wollen es so. Keine Daten keine LIDLPlusApp, viel weniger LIDL Einkäufe, tja Pech gehabt. Es gibt derzeit noch genug Alternativen hier bei mir.",2026-05-24T10:50:36,True,Privacy & data concerns,negative,Nutzer muss bei Neuanmeldung sensible Daten wie Telefonnummer und Geburtstag angeben und befürchtet Datenweitergabe.,Anmeldung ohne Angabe von Telefonnummer und Geburtstag ermöglichen.,medium,substantive
lidl-plus,Jan Koch,2,,"die App ist sehr unübersichtlich, Artikel aus dem Prospekt direkt auf die Einkaufsliste setzen geht nicht. 1 Minuspunkt, den direkten Artikel auswählen bei verschiedenen Sorten geht auch nicht 2 Minuspunkt, Artikel suchen über die Suchleiste funktioniert zwar, aber der Artikel wird nicht angezeigt.Es werden völlig andere Artikel angezeigt 3 Minuspunkt, da Artikel angezeigt werden die man nicht sucht. Artikel im Prospekt such geht auch nicht, man muß den ganzen Prospekt durchsuchen 4 Minuspunkt.",2026-05-24T10:22:36,True,Search & navigation,negative,"App ist unübersichtlich, Suche liefert falsche Ergebnisse und Prospektartikel können nicht direkt auf Einkaufsliste gesetzt werden.",Artikel aus dem Prospekt direkt auf die Einkaufsliste übernehmen und bessere Suchfunktion.,medium,substantive
lidl-plus,Patrick-Pascal Meyer,1,,Konnte meine Bestellung nicht auf Rechnung bezahlen.,2026-05-24T08:27:57,True,Payment & checkout,negative,Bestellung konnte nicht auf Rechnung bezahlt werden.,Zahlung auf Rechnung ermöglichen.,high,substantive
lidl-plus,Werner M.,1,,"Fehler im Login-Prozess der Lidl+ App! Die App öffnet die Anmeldemaske im Standard-Browser des Geräts. Ist dort die Option ""Desktopseite anfordern"" aktiv, schlägt der Auth-Callback zurück zur App fehl. Die App zeigt in diesem Fall die Meldung „Die Kapazität wurde überschritten – Bitte warte einen Moment und versuche es erneut"". Bitte Fehlermeldung anpassen!",2026-05-24T00:34:47,True,Authentication & login,negative,"Login schlägt fehl, wenn im Standardbrowser 'Desktopseite anfordern' aktiv ist; irreführende Fehlermeldung.",Login-Flow für Desktop-Modus reparieren und Fehlermeldung anpassen.,high,substantive
lidl-plus,Marina,3,,"Man fliegt ständig aus der App raus und muss sich neu anmelden. Wenn einem das dann auffällt, wenn man an der Kasse beim Bezahlen ist, ist es zu spät und man zahlt mehr, da die Lidl-Plus-Rabatte nicht berücksichtigt werden..",2026-05-23T20:49:27,True,Authentication & login,negative,"App loggt Nutzer ständig aus, wodurch an der Kasse Rabatte verloren gehen.","Sitzung dauerhaft halten, damit keine ständige Neuanmeldung nötig ist.",high,substantive
lidl-plus,Daniel Slyusarenko,1,,"Es zeigt mir immer „keine Internetverbindung”, obwohl eine vorhanden ist. Oder es erscheint die Meldung, dass etwas schiefgelaufen ist. Ich kann keine E-Kassenbons ansehen. Und schließlich loggt die App mich ständig aus. Ich habe auch versucht doe App neu zu instalieren allerdings ohne Erfolg. Bei anderen Supermärkten funktioniert es deutlich besser. 0/10",2026-05-23T20:01:56,True,Performance & stability,negative,"App meldet fälschlich keine Internetverbindung, zeigt keine Kassenbons und loggt ständig aus.",,high,substantive
lidl-plus,Geraldine Scholz,1,,"habe jetzt schon mehrfach ""gratis"" Artikel gekauft und entsprechend bezahlt heute wieder der Coupon ist meistens dann weg oder er steht auf aktiviert wird aber nicht eingelöst. Ansich wenn es nicht ausgegeben werden soll nicht schlimm. Nur schade wenn man dann sachen extra sucht oder ganze Kombinationen und die dann 100% zahlt. Das ist leider definitiv Scam, besser nicht versuchen. Nur normal einkaufen.",2026-05-23T17:15:54,True,Coupons & discounts,negative,"Aktivierte Gratis-Coupons werden an der Kasse nicht eingelöst, Kunde zahlt vollen Preis.",Zuverlässige Einlösung aktivierter Coupons sicherstellen.,high,substantive
lidl-plus,Nadja Suppes,1,,Früher war die App okay. Jetzt kann Ich mich gar nicht mehr einloggen!,2026-05-23T15:44:40,True,Authentication & login,negative,Login funktioniert nicht mehr.,,high,substantive
lidl-plus,Günther,1,,"Die Registrierung klappt überhaupt nicht..Es kann kein SMS -Codr an mich gesendet werden.Ich habe es schon an verschiedenen Tagen und Uhrzeiten probiert..Das ist nicht sehr Kundenorientiert und einfach nicht gut...Die App ist angeblich immer ""überlastet""oder nicht mehr ""Aufnahme-bereit.. mit freundlichen Grüßen G. aus Bremen. Die Kapazität wurde überschritten...Was für ne Aussage ist das denn...BITTE!!!🤔🤔🤔🤔...",2026-05-23T15:30:44,True,Onboarding & registration,negative,"Registrierung scheitert, da kein SMS-Code zugestellt wird und App meldet ständig Kapazitätsüberschreitung.",SMS-Code-Versand bei der Registrierung zuverlässig funktionieren lassen.,high,substantive
lidl-plus,Maria Stengel,1,,"Absolut schlechte App da sie zwingend voraussetzt dass Chrome der Standardbrowser ist. Mit Firefox keinerlei Nutzung/Login möglich somit absolut unbrauchbar. Und das schon seit Jahren wenn man im Netz sucht. ""Liebe"" Entwickler das ist Note 6 - bitte endlich fixen",2026-05-23T15:05:40,True,Authentication & login,negative,"Login ist nicht möglich, wenn Firefox statt Chrome als Standardbrowser eingestellt ist.",Login mit beliebigen Standardbrowsern wie Firefox ermöglichen.,high,substantive
